Run,MAE,RMSE,R2,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
255,0.047447275980299033,0.07037533000100099,0.8918553470072172,40.0,0.6,2,2,700
160,0.04708339507251678,0.07037552971660119,0.8918547332067583,20.0,1.0,4,8,300
157,0.04708339507251678,0.07037552971660119,0.8918547332067583,20.0,1.0,4,4,300
154,0.04708339507251677,0.07037552971660119,0.8918547332067583,20.0,1.0,4,2,300
259,0.047420965216454496,0.07038097441856178,0.8918379989377332,40.0,0.6,2,8,300
16,0.04742691072663128,0.07038652372433729,0.8918209418371466,,0.6,2,8,300
133,0.04715859444493743,0.07038921865101976,0.891812657859022,20.0,0.8,4,8,300
127,0.04715859444493743,0.07038921865101976,0.891812657859022,20.0,0.8,4,2,300
130,0.04715859444493743,0.07038921865101976,0.891812657859022,20.0,0.8,4,4,300
186,0.0474098755895184,0.07039031104722182,0.8918092998345688,30.0,0.6,4,4,700
189,0.0474098755895184,0.07039031104722182,0.8918092998345688,30.0,0.6,4,8,700
183,0.0474098755895184,0.07039031104722182,0.8918092998345688,30.0,0.6,4,2,700
79,0.04707565432591804,0.07039151969817449,0.8918055843824408,,1.0,4,8,300
73,0.04707565432591804,0.07039151969817449,0.8918055843824408,,1.0,4,2,300
76,0.04707565432591804,0.07039151969817449,0.8918055843824408,,1.0,4,4,300
